tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.649.1	nbisL1-mrna-3049	1.163022	1.145497	2.889807	1.913111	3.933459	0
mRNA_S-ischiensis_contig1.650.1	nbisL1-mrna-7612	0	0	0.291255	0	0	0.144111
mRNA_S-ischiensis_contig1.651.1	nbisL1-mrna-15874	2.783567	2.198585	4.146066	4.242151	4.276211	5.040011
mRNA_S-ischiensis_contig1.652.1	nbisL1-mrna-15875	11.83612	11.178331	10.437465	17.270895	18.445315	14.072603
mRNA_S-ischiensis_contig1.653.1	nbisL1-mrna-7613	6.374357	2.606409	5.79335	5.343484	4.125063	0.82094
mRNA_S-ischiensis_contig1.654.1	nbisL1-mrna-7614	0	0.199942	0.201946	0.413616	1.71131	0.19208
mRNA_S-ischiensis_contig1.655.1	nbisL1-mrna-15876	10.841584	11.023503	7.578698	8.845371	8.429717	5.438342
mRNA_S-ischiensis_contig1.656.1	nbisL1-mrna-3050	17.816281	18.022361	16.342825	11.000461	9.924968	10.425019
mRNA_S-ischiensis_contig1.657.1	nbisL1-mrna-7615	15.866549	19.418768	14.703573	14.155915	18.303238	13.325576
mRNA_S-ischiensis_contig1.658.1	nbisL1-mrna-15877	109.418155	112.834462	81.186539	89.588219	88.832768	62.213272
mRNA_S-ischiensis_contig1.659.1	nbisL1-mrna-15878	63.866971	71.176469	89.220003	70.401992	78.177775	96.416965
mRNA_S-ischiensis_contig1.660.1	nbisL1-mrna-15879	18.704315	16.273338	12.63192	76.133178	86.168337	60.741097
mRNA_S-ischiensis_contig1.661.1	nbisL1-mrna-15880	114.905483	123.756648	106.540044	119.03906	118.648795	110.223008
mRNA_S-ischiensis_contig1.662.1	nbisL1-mrna-7616	171.101244	192.483448	144.879812	266.363862	276.342235	216.3333
mRNA_S-ischiensis_contig1.663.1	nbisL1-mrna-15881	48.855133	51.101294	56.498398	44.363228	47.166981	42.806472
mRNA_S-ischiensis_contig1.664.1	nbisL1-mrna-15882	39.382296	43.073485	40.560625	30.952099	31.727543	26.864917
mRNA_S-ischiensis_contig1.665.1	nbisL1-mrna-15883	30.249116	29.610525	25.620246	30.378519	30.258994	23.413351
