tx	gene_id	Scytosiphon_promiscuus_A_RNAseq_ScytoA	Scytosiphon_promiscuus_asm6_male_RNAseq_ScytoM_rep1	Scytosiphon_promiscuus_B_RNAseq_ScytoB	Scytosiphon_promiscuus_C_RNAseq_ScytoC	Scytosiphon_promiscuus_D_RNAseq_ScytoD	Scytosiphon_promiscuus_mrf5_female_RNAseq_ScytoF_rep1
mRNA_S-promiscuus_M_contig11.1726.1	nbisL1-mrna-11481	0.022772	0.213239	0.328313	0.246796	0.464893	0
mRNA_S-promiscuus_M_contig11.1724.1	nbisL1-mrna-11482	5.583938	6.53118	11.823022	6.617043	14.097134	12.613812
mRNA_S-promiscuus_M_contig11.1723.1	nbisL1-mrna-11483	4.971303	4.407182	3.826916	4.283174	4.373454	5.206327
mRNA_S-promiscuus_M_contig11.1722.1	nbisL1-mrna-11484	19.41972	19.628608	27.685842	20.618573	27.784228	27.615589
mRNA_S-promiscuus_M_contig11.1721.1	nbisL1-mrna-11485	167.157567	144.546951	166.683051	152.937748	157.829069	174.526682
mRNA_S-promiscuus_M_contig11.1720.1	nbisL1-mrna-11486	1.812532	1.997193	5.76247	2.889057	2.721538	3.209645
mRNA_S-promiscuus_M_contig11.1719.1	nbisL1-mrna-11487	0.630874	0.351853	0.234658	0.064825	0.243959	0.851704
mRNA_S-promiscuus_M_contig11.1718.1	nbisL1-mrna-11488	2.110915	2.152635	0.301377	0.679501	0.639938	4.28687
mRNA_S-promiscuus_M_contig11.1716.1	nbisL1-mrna-11489	102.662124	89.708036	90.302976	93.092494	79.403785	95.703502
mRNA_S-promiscuus_M_contig11.1717.1	nbisL1-mrna-11490	8.110043	5.751789	1.861803	4.203292	1.650149	1.941725
mRNA_S-promiscuus_M_contig11.1714.1	nbisL1-mrna-11491	28.821915	25.91566	29.526679	24.876768	30.718803	33.460131
mRNA_S-promiscuus_M_contig11.1715.1	nbisL1-mrna-11492	0.044003	0	0	0	0	0
mRNA_S-promiscuus_M_contig11.1713.1	nbisL1-mrna-11493	6.358873	4.920625	6.56491	6.824033	8.26455	10.896246
mRNA_S-promiscuus_M_contig11.1712.1	nbisL1-mrna-11494	93.878459	101.373171	93.86967	92.862471	94.484704	99.115972
mRNA_S-promiscuus_M_contig11.1711.1	nbisL1-mrna-11495	16.648286	14.449851	24.979704	19.108773	26.890554	32.938791
mRNA_S-promiscuus_M_contig11.1710.1	nbisL1-mrna-11496	71.567929	54.344107	146.848768	61.603912	152.34628	158.317912
mRNA_S-promiscuus_M_contig11.1707.1	nbisL1-mrna-11497	8.286892	4.605955	10.016396	7.606007	10.535622	14.699535
mRNA_S-promiscuus_M_contig11.1709.1	nbisL1-mrna-11498	0.181149	0	0	0	0	0
mRNA_S-promiscuus_M_contig11.1708.1	nbisL1-mrna-11499	0.268827	0	0	0.832945	0	0
mRNA_S-promiscuus_M_contig11.1706.1	nbisL1-mrna-11500	26.501274	12.420165	13.441665	16.590734	17.440612	30.259745
mRNA_S-promiscuus_M_contig11.1705.1	nbisL1-mrna-11501	25.307766	13.66647	14.156885	17.750694	15.507347	32.232924
mRNA_S-promiscuus_M_contig11.1704.1	nbisL1-mrna-11502	0.076955	0	0	0.278025	0.261896	0
mRNA_S-promiscuus_M_contig11.1703.1	nbisL1-mrna-11503	26.558258	18.771422	17.609017	21.276239	26.896712	30.605999
mRNA_S-promiscuus_M_contig11.1702.1	nbisL1-mrna-11504	13.332476	13.275214	15.405125	12.173117	21.986368	20.014123
mRNA_S-promiscuus_M_contig11.1701.1	nbisL1-mrna-11505	7.240799	8.862822	18.000851	5.130352	18.257496	18.452516
mRNA_S-promiscuus_M_contig11.1700.1	nbisL1-mrna-11506	8.795867	6.034243	8.495657	5.249758	7.358298	19.067801
mRNA_S-promiscuus_M_contig11.1699.1	nbisL1-mrna-11507	43.743834	47.347654	77.257884	52.301141	77.763413	78.616587
mRNA_S-promiscuus_M_contig11.1698.1	nbisL1-mrna-11508	18.862999	22.321218	45.235723	21.236988	35.826175	31.972835
mRNA_S-promiscuus_M_contig11.1697.1	nbisL1-mrna-11509	3.613421	2.96971	2.07911	0.839723	1.95657	6.137808
mRNA_S-promiscuus_M_contig11.1696.1	nbisL1-mrna-11510	0.309164	0.198119	0.183502	0.137649	0.259054	0.873753
mRNA_S-promiscuus_M_contig11.1695.1	nbisL1-mrna-11511	0.42596	0.354256	1.0253	0.256381	0.434266	1.493131
mRNA_S-promiscuus_M_contig11.1694.1	nbisL1-mrna-11512	68.204387	50.301628	9.641293	48.495422	6.570383	9.36559
mRNA_S-promiscuus_M_contig11.1693.1	nbisL1-mrna-11513	7.428065	6.981101	10.545151	6.30351	8.521683	8.115416
mRNA_S-promiscuus_M_contig11.1692.1	nbisL1-mrna-11514	63.800234	41.125294	144.473841	52.187314	151.739009	173.49835
mRNA_S-promiscuus_M_contig11.1691.1	nbisL1-mrna-11515	151.585153	153.128854	113.976792	141.598642	113.158074	126.181243
mRNA_S-promiscuus_M_contig11.1690.1	nbisL1-mrna-11516	12.92211	10.448437	14.53972	12.168074	15.471616	17.532904
mRNA_S-promiscuus_M_contig11.1689.1	nbisL1-mrna-11517	3.098866	2.968667	2.535442	1.206848	1.410883	4.712625
mRNA_S-promiscuus_M_contig11.1688.1	nbisL1-mrna-11518	11.350178	11.238672	11.844063	12.004411	12.678443	14.861074
mRNA_S-promiscuus_M_contig11.1687.1	nbisL1-mrna-11519	129.329772	136.169916	176.316262	133.341599	187.318274	185.444207
mRNA_S-promiscuus_M_contig11.1686.1	nbisL1-mrna-11520	8.903308	9.388236	10.301186	9.259841	9.851577	11.531677
mRNA_S-promiscuus_M_contig11.1685.1	nbisL1-mrna-11521	45.609923	46.033877	27.147142	44.686222	21.687999	27.71736
mRNA_S-promiscuus_M_contig11.1684.1	nbisL1-mrna-11522	1.053632	0.939019	1.56944	0.090602	2.046554	2.229399
mRNA_S-promiscuus_M_contig11.1683.1	nbisL1-mrna-11523	16.038337	12.738151	10.934229	14.610057	18.580184	21.786945
mRNA_S-promiscuus_M_contig11.1682.1	nbisL1-mrna-11524	0.026407	0	0.380602	0	0.269619	0
mRNA_S-promiscuus_M_contig11.1681.1	nbisL1-mrna-11525	3.549141	0.980483	12.774816	3.967647	4.801477	6.242557
mRNA_S-promiscuus_M_contig11.1680.1	nbisL1-mrna-11526	4.038147	3.622963	7.880856	2.690286	10.671213	10.700201
mRNA_S-promiscuus_M_contig11.1679.1	nbisL1-mrna-11527	9.480268	7.019802	6.279479	4.967589	6.074522	10.211105
mRNA_S-promiscuus_M_contig11.1678.1	nbisL1-mrna-11528	5.625566	7.248551	6.142588	2.029766	2.942553	9.887936
mRNA_S-promiscuus_M_contig11.1677.1	nbisL1-mrna-11529	51.861621	30.255247	39.438843	38.010126	50.144061	64.566625
mRNA_S-promiscuus_M_contig11.1676.1	nbisL1-mrna-11530	0.064287	0.605447	0	0	0	0
mRNA_S-promiscuus_M_contig11.1675.1	nbisL1-mrna-11531	4500.648287	5300.33084	1788.636342	6429.744005	1531.273893	1160.389438
mRNA_S-promiscuus_M_contig11.1674.1	nbisL1-mrna-11532	16.055827	14.629411	1.065828	19.488644	0.752372	2.294717
