tx	gene_id	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF1_rep1	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF3_rep3	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF4_rep4	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM2_rep2	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM3_rep3	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM4_rep4
mRNA_D-herbacea_M_contig2.4921.1	nbisL1-mrna-9633	8.542643	16.267452	12.030107	11.622061	14.026385	14.113449
mRNA_D-herbacea_M_contig2.4920.1	nbisL1-mrna-9634	26.619522	30.052432	28.747349	36.254233	36.860934	37.936017
mRNA_D-herbacea_M_contig2.4919.1	nbisL1-mrna-9635	9.068836	10.583917	11.04011	18.011666	17.498858	15.577922
mRNA_D-herbacea_M_contig2.4918.1	nbisL1-mrna-9636	12.018741	11.551315	12.199045	6.206102	4.743488	4.701592
mRNA_D-herbacea_M_contig2.4917.1	nbisL1-mrna-9637	88.523481	94.282059	103.680668	20.464434	21.762484	27.596671
mRNA_D-herbacea_M_contig2.4916.1	nbisL1-mrna-9638	13.47383	16.127737	14.646964	19.588858	16.188669	18.958664
mRNA_D-herbacea_M_contig2.4915.1	nbisL1-mrna-9639	3.676215	6.686196	4.931217	6.558459	8.30405	7.464205
mRNA_D-herbacea_M_contig2.4914.1	nbisL1-mrna-9640	9.896964	11.115945	8.480525	9.560263	7.866094	7.267267
mRNA_D-herbacea_M_contig2.4913.1	nbisL1-mrna-9641	10.716279	10.238258	9.644028	12.787071	9.369521	12.365152
mRNA_D-herbacea_M_contig2.4912.1	nbisL1-mrna-9642	131.596232	133.467351	162.697701	142.651123	156.910162	176.584142
mRNA_D-herbacea_M_contig2.4911.1	nbisL1-mrna-9643	40.186544	43.769081	54.889929	44.938032	43.027463	44.684928
mRNA_D-herbacea_M_contig2.4910.1	nbisL1-mrna-9644	30.171145	43.311263	32.078449	23.907177	23.332018	20.907919
mRNA_D-herbacea_M_contig2.4909.1	nbisL1-mrna-9645	17.087696	33.665851	27.008446	13.604665	15.191962	11.34271
mRNA_D-herbacea_M_contig2.4908.1	nbisL1-mrna-9646	11.289459	20.293608	14.36439	7.071893	8.629843	5.841403
