gene_id	gene_name	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH1_rep1	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH3_rep3	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH4_rep4
Ddudresnayi_g10326	Ddudresnayi_g10326	10.81927	17.142583	10.50392
Ddudresnayi_g10327	Ddudresnayi_g10327	3.307307	2.566222	1.530695
Ddudresnayi_g10328	Ddudresnayi_g10328	1.344082	3.237285	1.449421
Ddudresnayi_g10329	Ddudresnayi_g10329	0.953207	0	1.161697
Ddudresnayi_g1033	Ddudresnayi_g1033	2.897958	3.294829	2.944202
Ddudresnayi_g10330	Ddudresnayi_g10330	1.170466	0.420146	2.50369
Ddudresnayi_g10331	Ddudresnayi_g10331	0	0	0.103843
Ddudresnayi_g10332	Ddudresnayi_g10332	0	0	0
Ddudresnayi_g10333	Ddudresnayi_g10333	1.764855	1.759903	2.048078
Ddudresnayi_g10334	Ddudresnayi_g10334	0.109093	0	0.047726
Ddudresnayi_g10335	Ddudresnayi_g10335	5.721199	9.616871	5.865334
Ddudresnayi_g10336	Ddudresnayi_g10336	13.122668	12.985407	11.068724
Ddudresnayi_g10337	Ddudresnayi_g10337	51.395868	44.366707	46.328574
Ddudresnayi_g10338	Ddudresnayi_g10338	3.468917	4.309392	2.69148
Ddudresnayi_g1034	Ddudresnayi_g1034	0	0	0
Ddudresnayi_g10340	Ddudresnayi_g10340	6.833615	5.526917	4.793414
Ddudresnayi_g10342	Ddudresnayi_g10342	47.211176	62.382705	55.27159
