gene_id	gene_name	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep3	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep3
XLOC_002640	XLOC_002640	1.453475	4.984044	3.970815	14.418872	15.403027	16.18396
XLOC_002641	XLOC_002641	21.691914	31.542649	35.458068	58.111239	64.902879	61.595193
XLOC_002643	XLOC_002643	1.104075	0	0	1.244702	6.250567	1.384147
XLOC_002644	XLOC_002644	8.846465	14.139712	16.709783	3.526088	6.029562	3.756784
XLOC_002646	XLOC_002646	0	0	1.464634	0	0	0
XLOC_002647	XLOC_002647	2.95338	0	0	0.352222	0.18736	0
XLOC_002648	XLOC_002648	0	5.919646	5.953968	0	0	0
XLOC_002649	XLOC_002649	2.024546	1.471137	3.218685	0	0.310445	1.30874
XLOC_002650	XLOC_002650	5.061867	5.018507	8.32979	0	0	0.30731
XLOC_002651	XLOC_002651	0.664041	1.62107	1.313426	0.567426	0.188359	1.477298
XLOC_002652	XLOC_002652	0	0	0	0	0	0
XLOC_002653	XLOC_002653	33.830505	55.492823	44.360459	63.816488	78.206223	70.657517
XLOC_002654	XLOC_002654	95.008509	137.893373	136.225185	86.796534	106.194442	80.033666
XLOC_002655	XLOC_002655	0	0.12933	0.134715	0.271614	0.270298	0
XLOC_002656	XLOC_002656	1.165467	1.6258	2.446339	5.325616	7.163259	6.773065
XLOC_002657	XLOC_002657	50.975969	66.2121	62.012878	4.209266	4.24954	3.402629
XLOC_002658	XLOC_002658	2.837146	2.013563	3.701225	3.482534	4.702678	5.547172
XLOC_002659	XLOC_002659	3.634324	10.262996	7.753512	17.657764	19.385754	14.568182
XLOC_002660	XLOC_002660	7.676469	11.766619	11.489652	0.514822	0	0.095742
XLOC_002661	XLOC_002661	0	0	0	0	1.193678	2.660392
XLOC_002662	XLOC_002662	0.522151	1.250442	0.590354	1.515394	1.693071	1.914777
XLOC_002663	XLOC_002663	5.356505	6.542348	6.573565	0.897154	0.334296	0.691894
XLOC_002664	XLOC_002664	38.090114	44.965302	42.696627	34.037715	30.975542	29.833993
XLOC_002665	XLOC_002665	0.462746	3.51265	2.3526	4.215618	6.563427	7.055371
XLOC_002666	XLOC_002666	1.764962	5.442484	4.550869	8.451704	8.333524	8.011082
XLOC_002667	XLOC_002667	1.147582	3.915738	1.761178	4.111793	3.90367	3.336761
XLOC_002668	XLOC_002668	28.255399	66.693875	55.398365	52.908718	55.690092	59.178848
XLOC_002671	XLOC_002671	76.802887	90.393345	97.825007	65.645985	66.809986	50.48183
XLOC_002672	XLOC_002672	544.757143	480.843607	488.284867	353.559864	310.052003	335.138244
XLOC_002675	XLOC_002675	69.752541	116.113879	104.332232	113.2212	145.353396	114.4216
XLOC_002676	XLOC_002676	21.030436	47.05204	38.781283	61.244097	66.366299	79.500629
XLOC_002677	XLOC_002677	1.935959	14.591074	10.199252	20.356538	22.200964	21.541621
XLOC_002678	XLOC_002678	434.580749	438.145495	362.475385	5.084203	5.949019	4.790479
XLOC_002679	XLOC_002679	126.271535	144.268167	143.590502	13.759355	14.671633	16.136108
XLOC_002680	XLOC_002680	0.912567	6.315119	3.294293	12.740858	13.361077	11.443146
XLOC_002681	XLOC_002681	0.609937	4.851536	1.608171	6.252415	7.845299	6.448777
XLOC_002682	XLOC_002682	3.963577	8.757766	3.763618	17.129819	16.655418	12.966754
XLOC_002683	XLOC_002683	23.025789	29.321804	31.056524	38.962853	39.390323	39.143065
XLOC_002684	XLOC_002684	1.395031	2.161718	2.026812	8.399458	2.498163	10.38466
XLOC_002685	XLOC_002685	52.040924	66.632323	64.551888	71.361408	60.796952	77.149329
XLOC_002686	XLOC_002686	0.337524	1.612541	0.91611	1.693271	2.525617	1.889407
XLOC_002687	XLOC_002687	0.27984	1.213381	0.316062	1.274193	0.95333	0
XLOC_002688	XLOC_002688	0	0.324538	0	0.340805	0	0
XLOC_002689	XLOC_002689	2.531337	1.817893	1.894331	0.954557	4.78924	4.253371
XLOC_002690	XLOC_002690	20.783906	23.4314	22.222597	15.457423	10.55957	7.03928
XLOC_002691	XLOC_002691	0	0	0	1.765395	3.492104	3.914443
XLOC_002692	XLOC_002692	4.923603	4.834773	7.577703	8.725581	8.396895	7.081857
XLOC_002693	XLOC_002693	0	0	0	0	0	0
XLOC_002694	XLOC_002694	0	0	0	0.584954	0.116395	0.652702
XLOC_002695	XLOC_002695	0.288185	2.502763	2.063768	2.628084	4.90206	4.520889
XLOC_002696	XLOC_002696	0	0	0	0.712115	2.140118	3.175836
XLOC_002697	XLOC_002697	0.165474	4.911525	1.996283	7.170039	8.816655	7.368974
XLOC_002698	XLOC_002698	1.762776	5.264387	2.941417	9.297233	9.089847	8.131168
XLOC_002699	XLOC_002699	4.710295	16.207481	14.957132	19.2837	19.365089	14.901232
XLOC_002700	XLOC_002700	1.558387	6.015515	4.307621	14.706095	11.289755	12.885245
XLOC_002701	XLOC_002701	1.551432	6.152466	6.995236	17.623996	14.697674	18.345786
XLOC_002702	XLOC_002702	0	0	0	0	0	0
XLOC_002703	XLOC_002703	0	8.197325	0	0	0	0
XLOC_002704	XLOC_002704	0	0.611723	3.510698	11.371255	25.316186	2.350005
XLOC_002705	XLOC_002705	0	0.278766	0	1.463683	0.875781	0.326618
XLOC_002706	XLOC_002706	0	2.80491	0	0.981968	0.985395	5.468309
XLOC_002708	XLOC_002708	0	0.124728	0.259839	0.392922	0.521324	0.292285
XLOC_002709	XLOC_002709	0.288931	0.376497	0.261422	0.527127	0.393063	0.882281
XLOC_002710	XLOC_002710	4.499719	10.056916	9.172567	15.691379	13.286268	15.245525
XLOC_002711	XLOC_002711	58.578597	99.243023	92.655797	98.621584	100.06661	112.537258
XLOC_002712	XLOC_002712	19.109217	28.567313	34.103123	35.236241	38.93259	31.89169
XLOC_002713	XLOC_002713	34.443878	49.49012	37.778982	38.787486	36.338282	42.353976
XLOC_002714	XLOC_002714	1.782516	8.530517	5.151751	8.430668	8.158503	7.139406
XLOC_002715	XLOC_002715	5.556868	10.869495	8.068498	14.297419	12.984037	10.971082
XLOC_002716	XLOC_002716	3.300744	5.758464	4.283981	8.021175	6.986073	6.265233
XLOC_002717	XLOC_002717	179.897686	251.285261	254.886314	178.137363	194.19518	163.214066
XLOC_002718	XLOC_002718	9.534971	14.220699	11.122656	16.789437	14.145129	14.850247
XLOC_002719	XLOC_002719	0.124356	0.134968	0	0.566911	0.282104	0.790705
XLOC_002720	XLOC_002720	0.489924	6.10908	2.76731	8.646622	7.230631	7.468954
XLOC_002721	XLOC_002721	0.991528	5.546372	3.869625	9.131762	9.664479	8.49657
XLOC_002722	XLOC_002722	1.038548	4.107715	3.858968	4.313372	4.289541	5.851084
XLOC_002724	XLOC_002724	2.172408	8.445937	5.230409	13.98521	16.492356	13.369144
XLOC_002725	XLOC_002725	1631.259919	1975.90491	1827.399123	1568.130564	1527.887632	1479.652009
XLOC_002726	XLOC_002726	14.567789	22.080239	19.084349	26.369314	27.938609	25.33074
XLOC_002727	XLOC_002727	3.324317	11.109488	8.146898	13.171242	12.649757	13.377979
XLOC_002728	XLOC_002728	60.968819	78.513489	77.080087	116.476943	121.525869	123.809456
XLOC_002729	XLOC_002729	0	0	0	0	0	0
XLOC_002730	XLOC_002730	0	0.091268	0.095062	0.191675	0.095322	0.320814
XLOC_002731	XLOC_002731	3.208928	8.956342	7.126442	19.33222	21.836841	17.679369
XLOC_002732	XLOC_002732	0.789791	4.393955	3.013951	6.977234	6.157579	6.40408
XLOC_002733	XLOC_002733	0	0	0	1.586876	2.645253	1.180044
XLOC_002734	XLOC_002734	0.17439	0.283989	0	0.633998	0.988731	0.332748
XLOC_002735	XLOC_002735	10.159041	14.878624	12.86901	29.713047	31.097647	33.154073
XLOC_002739	XLOC_002739	4.198411	8.286719	6.905114	12.291091	14.283014	9.102643
XLOC_002740	XLOC_002740	0.953155	3.660212	2.733909	6.832745	6.089304	5.989269
XLOC_002741	XLOC_002741	0	0.19384	0	0.203551	0.202748	0.227119
XLOC_002742	XLOC_002742	19.737115	20.133279	24.225836	13.56161	17.326257	16.941992
XLOC_002743	XLOC_002743	12.577388	47.887389	37.186342	74.946	70.487957	81.951662
XLOC_002744	XLOC_002744	2.408315	31.66921	20.1777	41.327133	51.104774	38.007055
XLOC_002745	XLOC_002745	2.530645	10.174213	7.348233	15.519845	15.19875	14.184847
XLOC_002750	XLOC_002750	4250.704647	3503.195395	4096.482026	3927.099247	3856.162306	3930.88907
XLOC_002751	XLOC_002751	139.113687	194.161215	161.147618	43.485352	62.889957	47.875729
XLOC_002752	XLOC_002752	40.258486	42.922309	41.583092	42.751396	44.326836	36.794403
XLOC_002753	XLOC_002753	403.095341	344.74105	386.123131	242.023494	291.388933	247.570786
XLOC_002754	XLOC_002754	47.828135	47.407404	51.316334	50.711502	57.562977	53.366616
XLOC_002755	XLOC_002755	0.512089	2.209874	1.599133	0.903934	1.285014	1.021294
XLOC_002756	XLOC_002756	5244.808435	3254.512338	4009.791572	4487.25688	4136.160346	4808.422743
XLOC_002757	XLOC_002757	25.048833	46.853004	36.199978	90.367184	100.659992	88.618042
XLOC_002758	XLOC_002758	0	0	1.70343	0	0.860733	0
XLOC_002759	XLOC_002759	12.906353	20.721794	19.371697	33.26316	34.500449	30.648028
XLOC_002760	XLOC_002760	3.296749	13.46375	10.084163	22.078176	25.247716	26.126645
XLOC_002761	XLOC_002761	18.689098	24.960875	20.725217	30.743746	30.405263	25.874229
XLOC_002762	XLOC_002762	33.851725	27.57277	30.14029	29.696356	29.052438	32.679846
XLOC_002763	XLOC_002763	101.933657	82.8818	89.503573	109.736395	112.028701	102.399418
XLOC_002764	XLOC_002764	33.710596	47.615901	33.983067	27.777915	27.635921	28.54131
XLOC_002765	XLOC_002765	2.966233	4.359648	2.72306	0.298468	1.025845	0.772634
XLOC_002766	XLOC_002766	85.721409	97.179395	87.941469	71.059199	75.79424	63.950309
XLOC_002767	XLOC_002767	22.94652	70.991397	58.652369	109.477461	132.477421	139.989056
XLOC_002768	XLOC_002768	0	0	0	0	0	0
XLOC_002769	XLOC_002769	0.112069	2.971358	1.689923	6.994428	6.653513	5.763493
XLOC_002770	XLOC_002770	0.71172	1.930339	0.80436	6.081138	5.047565	6.332891
XLOC_002771	XLOC_002771	0	0.311482	0	1.962556	3.589708	5.081682
XLOC_002772	XLOC_002772	13.233671	18.209625	12.515987	17.90286	13.003341	12.709894
XLOC_002773	XLOC_002773	0.367917	0.399554	0.364122	2.09777	2.085244	2.282262
XLOC_002774	XLOC_002774	88.422626	90.084619	89.088556	74.069566	67.085732	70.62178
